NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
551324	LOC551324	transmembrane protein 19	PROTEIN_CODING	39501	NCBI Ortholog	NC_037648.1	10418089	10420271
551327	LOC551327	carboxypeptidase B	PROTEIN_CODING			NC_037651.1	6019727	6024363
551329	LOC551329	ATPase family AAA domain-containing protein 3A homolog	PROTEIN_CODING	53565	NCBI Ortholog	NC_037653.1	1095078	1098007
551330	LOC551330	40S ribosomal protein S3	PROTEIN_CODING	42761	NCBI Ortholog	NC_037639.1	13380761	13382153
551344	LOC551344	probable chitinase 2	PROTEIN_CODING			NC_037651.1	8220358	8224718
551345	LOC551345	WD repeat-containing protein 55 homolog	PROTEIN_CODING	41419	NCBI Ortholog	NC_037643.1	9126201	9128252
551353	LOC551353	translocon-associated protein subunit alpha	PROTEIN_CODING	326234	NCBI Ortholog	NC_037647.1	248511	250355
551354	LOC551354	exocyst complex component 4	PROTEIN_CODING	40712	NCBI Ortholog	NC_037638.1	11485404	11486356
551355	LOC551355	integrator complex subunit 2	PROTEIN_CODING	32745	NCBI Ortholog	NC_037641.1	5866786	5871512
551358	LOC551358	dehydrodolichyl diphosphate synthase complex subunit DHDDS	PROTEIN_CODING	31708	NCBI Ortholog	NC_037638.1	21028799	21030301
551361	LOC551361	supervillin	PROTEIN_CODING	38306	NCBI Ortholog	NC_037647.1	7568744	7580432
551371	LOC551371	DET1 homolog	PROTEIN_CODING	44793	NCBI Ortholog	NC_037643.1	15348471	15351189
551375	LOC551375	receptor-type tyrosine-protein phosphatase N2	PROTEIN_CODING	33277	NCBI Ortholog	NC_037640.1	8257934	8268322
551376	LOC551376	activating signal cointegrator 1 complex subunit 1	PROTEIN_CODING	36044	NCBI Ortholog	NC_037645.1	11781933	11783978
551379	LOC551379	chitobiosyldiphosphodolichol beta-mannosyltransferase	PROTEIN_CODING			NC_037648.1	7113203	7128377
551381	LOC551381	uncharacterized LOC551381	PROTEIN_CODING	50266	NCBI Ortholog	NC_037638.1	25138000	25138911
551383	LOC551383	protein MAK16 homolog A	PROTEIN_CODING	31818	NCBI Ortholog	NC_037638.1	5031404	5033046
551384	LOC551384	autophagy-related protein 13	PROTEIN_CODING	40998	NCBI Ortholog	NC_037638.1	7049516	7052755
551386	LOC551386	26S protease regulatory subunit 10B	PROTEIN_CODING			NC_037638.1	22779329	22781292
551391	LOC551391	U1 small nuclear ribonucleoprotein 70 kDa	PROTEIN_CODING	33982	NCBI Ortholog	NC_037648.1	2906767	2911928
551396	LOC551396	integrator complex subunit 4	PROTEIN_CODING	31793	NCBI Ortholog	NC_037640.1	3305679	3309316
551397	LOC551397	28S ribosomal protein S18a, mitochondrial	PROTEIN_CODING	326141	NCBI Ortholog	NC_037642.1	6871552	6872349
551406	LOC551406	cell growth-regulating nucleolar protein	PROTEIN_CODING	36087	NCBI Ortholog	NC_037638.1	11840364	11841949
551410	LOC551410	COP9 signalosome complex subunit 5	PROTEIN_CODING	42000	NCBI Ortholog	NC_037649.1	8611326	8613736
551411	LOC551411	proteasome maturation protein	PROTEIN_CODING	35342	NCBI Ortholog	NC_037638.1	4810352	4811580
551412	LOC551412	polycomb protein EED	PROTEIN_CODING			NC_037639.1	6930123	6933048
551413	LOC551413	U3 small nucleolar ribonucleoprotein protein IMP3	PROTEIN_CODING	36976	NCBI Ortholog	NC_037652.1	2746709	2747683
551416	LOC551416	uncharacterized LOC551416	PROTEIN_CODING			NC_037638.1	7054573	7057362
551418	LOC551418	60S ribosomal protein L13a	PROTEIN_CODING	40687	NCBI Ortholog	NC_037638.1	21042691	21044720
551419	LOC551419	alkaline ceramidase	PROTEIN_CODING	250736	NCBI Ortholog	NC_037638.1	22783043	22784872
551422	LOC551422	serine/threonine-protein kinase 11-interacting protein	PROTEIN_CODING	33825	NCBI Ortholog	NC_037645.1	1635359	1643833
551424	LOC551424	nuclear receptor-binding protein homolog	PROTEIN_CODING	40710	NCBI Ortholog	NC_037648.1	14822084	14830891
551426	LOC551426	uncharacterized LOC551426	PROTEIN_CODING			NC_037649.1	6075180	6076492
551427	LOC551427	erlin-1	PROTEIN_CODING			NC_037649.1	8496692	8498721
551429	LOC551429	TBC1 domain family member 10A	PROTEIN_CODING	41390	NCBI Ortholog	NC_037653.1	4834771	4836945
551430	LOC551430	PDZ domain-containing protein 8	PROTEIN_CODING	32157	NCBI Ortholog	NC_037640.1	3299020	3305274
551433	LOC551433	uncharacterized LOC551433	PROTEIN_CODING	40225	NCBI Ortholog	NC_037646.1	1711127	1726187
551435	LOC551435	protein disulfide-isomerase	PROTEIN_CODING	39651	NCBI Ortholog	NC_037647.1	11921266	11924982
551437	LOC551437	alpha-N-acetylglucosaminidase	PROTEIN_CODING	46386	NCBI Ortholog	NC_037644.1	2082573	2089958
551438	LOC551438	actin-related protein 1	PROTEIN_CODING	41566	NCBI Ortholog	NC_037652.1	3738308	3741196
551443	LOC551443	uncharacterized LOC551443	PROTEIN_CODING			NC_037638.1	4805535	4815895
551445	LOC551445	heparin sulfate O-sulfotransferase	PROTEIN_CODING			NC_037646.1	1623618	1625320
551446	LOC551446	RNA-binding protein lark	PROTEIN_CODING	38811	NCBI Ortholog	NC_037651.1	10602411	10614979
551448	LOC551448	ribose-phosphate pyrophosphokinase 1	PROTEIN_CODING	39132	NCBI Ortholog	NC_037638.1	29940	39215
551450	LOC551450	uncharacterized LOC551450	PROTEIN_CODING			NC_037638.1	2453199	2465740
551451	LOC551451	integrin-alpha FG-GAP repeat-containing protein 2-like	PROTEIN_CODING			NC_037638.1	20100746	20102988
551452	LOC551452	DNA-directed RNA polymerase II subunit GRINL1A	PROTEIN_CODING	42309	NCBI Ortholog	NC_037638.1	21045681	21047087
551457	LOC551457	GDP-fucose protein O-fucosyltransferase 1	PROTEIN_CODING	36564	NCBI Ortholog	NC_037640.1	10261689	10263419
551458	LOC551458	leucine-rich repeat-containing protein 20	PROTEIN_CODING	32156	NCBI Ortholog	NC_037640.1	3288118	3295009
551459	LOC551459	protein YIF1B	PROTEIN_CODING	43217	NCBI Ortholog	NC_037642.1	2945117	2946833
551462	LOC551462	sister chromatid cohesion protein PDS5 homolog B	PROTEIN_CODING	36286	NCBI Ortholog	NC_037645.1	3448674	3455764
551463	LOC551463	decaprenyl-diphosphate synthase subunit 2	PROTEIN_CODING	40323	NCBI Ortholog	NC_037647.1	6412656	6414656
551466	LOC551466	CAAX prenyl protease 1 homolog	PROTEIN_CODING			NC_037642.1	180761	190186
551467	LOC551467	syntaxin-18	PROTEIN_CODING	42933	NCBI Ortholog	NC_037648.1	15003330	15005477
551472	LOC551472	trafficking protein particle complex subunit 10	PROTEIN_CODING	41833	NCBI Ortholog	NC_037638.1	21047432	21053042
551474	LOC551474	tudor and KH domain-containing protein homolog	PROTEIN_CODING	33401	NCBI Ortholog	NC_037649.1	8505021	8515407
551476	LOC551476	probable asparagine--tRNA ligase, mitochondrial	PROTEIN_CODING	36909	NCBI Ortholog	NC_037639.1	13358570	13360402
551478	LOC551478	mediator of RNA polymerase II transcription subunit 15	PROTEIN_CODING	33223	NCBI Ortholog	NC_037640.1	10264513	10269622
551479	LOC551479	40S ribosomal protein S21	PROTEIN_CODING	33487	NCBI Ortholog	NC_037640.1	6088392	6089063
551480	LOC551480	WD repeat-containing protein 92	PROTEIN_CODING	39997	NCBI Ortholog	NC_037642.1	7065922	7067419
551483	LOC551483	calcium channel flower	PROTEIN_CODING	39720	NCBI Ortholog	NC_037648.1	6994683	6998649
551484	LOC551484	sphingomyelin phosphodiesterase 4	PROTEIN_CODING	41436	NCBI Ortholog	NC_037640.1	4919232	4923333
551488	LOC551488	uncharacterized LOC551488	PROTEIN_CODING	31101	NCBI Ortholog	NC_037647.1	8077915	8079108
551489	LOC551489	phospholipid phosphatase 5	PROTEIN_CODING	40672	NCBI Ortholog	NC_037652.1	5813088	5814741
551493	LOC551493	pre-mRNA-processing factor 6	PROTEIN_CODING	40064	NCBI Ortholog	NC_037648.1	15421476	15425383
551494	LOC551494	resistance to inhibitors of cholinesterase protein 3	PROTEIN_CODING	37384	NCBI Ortholog	NC_037638.1	20106642	20111054
551498	LOC551498	uncharacterized LOC551498	PROTEIN_CODING	46194	NCBI Ortholog	NC_037647.1	7527807	7542221
551499	LOC551499	FIT family protein CG10671	PROTEIN_CODING	38596	NCBI Ortholog	NC_037647.1	6004232	6005847
551500	LOC551500	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit	PROTEIN_CODING	42446	NCBI Ortholog	NC_037648.1	16317895	16326171
551502	LOC551502	atrial natriuretic peptide-converting enzyme	PROTEIN_CODING			NC_037650.1	2784411	2797438
551508	LOC551508	vang-like protein 1	PROTEIN_CODING	35922	NCBI Ortholog	NC_037639.1	6937443	6939815
551511	LOC551511	elongin-B	PROTEIN_CODING	42435	NCBI Ortholog	NC_037641.1	2836827	2839141
551517	LOC551517	beta-TrCP	PROTEIN_CODING	42504	NCBI Ortholog	NC_037652.1	5814862	5822003
551523	LOC551523	adenylate kinase	PROTEIN_CODING	37834	NCBI Ortholog	NC_037646.1	7878323	7879686
551524	LOC551524	zinc carboxypeptidase	PROTEIN_CODING			NC_037644.1	4994294	4998667
551525	LOC551525	putative vacuolar protein sorting-associated protein TDA6	PROTEIN_CODING	318020	NCBI Ortholog	NC_037652.1	1904939	1910652
551526	LOC551526	G protein pathway suppressor 2	PROTEIN_CODING	35610	NCBI Ortholog	NC_037642.1	8490274	8493005
551527	LOC551527	acyl-CoA Delta(11) desaturase	PROTEIN_CODING			NC_037641.1	2073062	2097526
551533	LOC551533	pyridoxine/pyridoxamine 5'-phosphate oxidase	PROTEIN_CODING	31765	NCBI Ortholog	NC_037650.1	2797186	2798696
551535	LOC551535	ero1-like protein	PROTEIN_CODING	38500	NCBI Ortholog	NC_037639.1	15523230	15525955
551537	LOC551537	enoyl-CoA hydratase domain-containing protein 3, mitochondrial	PROTEIN_CODING	36926	NCBI Ortholog	NC_037640.1	11674744	11676583
551540	LOC551540	replication factor C subunit 2	PROTEIN_CODING	38492	NCBI Ortholog	NC_037640.1	13478320	13480073
551541	LOC551541	uncharacterized LOC551541	PROTEIN_CODING			NC_037641.1	13154850	13155889
551548	LOC551548	L-asparaginase	PROTEIN_CODING	31351	NCBI Ortholog	NC_037642.1	8511860	8518783
551549	LOC551549	transmembrane 9 superfamily member 3	PROTEIN_CODING	38635	NCBI Ortholog	NC_037649.1	3069338	3072314
551550	LOC551550	probable 26S proteasome non-ATPase regulatory subunit 3	PROTEIN_CODING	35176	NCBI Ortholog	NC_037642.1	479262	482129
551552	LOC551552	xaa-Pro dipeptidase	PROTEIN_CODING	47769	NCBI Ortholog	NC_037643.1	16878725	16886547
551555	LOC551555	MATH and LRR domain-containing protein PFE0570w	PROTEIN_CODING			NC_037638.1	10792	17180
551556	LOC551556	probable serine/threonine-protein kinase DDB_G0283337	PROTEIN_CODING			NC_037638.1	5625007	5626665
551557	LOC551557	uncharacterized LOC551557	PROTEIN_CODING			NC_037638.1	10716502	10718000
551559	LOC551559	translocon-associated protein subunit beta	PROTEIN_CODING	39768	NCBI Ortholog	NC_037638.1	22801964	22803320
551571	LOC551571	pyrokinin-like receptor 1	PROTEIN_CODING			NC_037645.1	3935202	3949535
551573	LOC551573	tyrosine-protein phosphatase non-receptor type 4	PROTEIN_CODING	38059	NCBI Ortholog	NC_037638.1	11500283	11506109
551578	LOC551578	protein O-mannosyl-transferase 2	PROTEIN_CODING	31024	NCBI Ortholog	NC_037642.1	8498838	8502556
551579	LOC551579	band 4.1-like protein 5	PROTEIN_CODING	41656	NCBI Ortholog	NC_037651.1	5522474	5526445
551580	LOC551580	ubiquitin-related modifier 1	PROTEIN_CODING	2768949	NCBI Ortholog	NC_037638.1	9273	12174
551582	LOC551582	maternal protein exuperantia	PROTEIN_CODING	37345	NCBI Ortholog	NC_037651.1	3453993	3463078
551588	LOC551588	factor VIII intron 22 protein	PROTEIN_CODING			NC_037647.1	9511129	9512776
551590	LOC551590	upstream stimulatory factor 1	PROTEIN_CODING			NC_037649.1	6223470	6225477
551591	LOC551591	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	PROTEIN_CODING	39748	NCBI Ortholog	NC_037649.1	8551511	8555305
551596	LOC551596	uncharacterized LOC551596	PROTEIN_CODING			NC_037639.1	4472496	4475150
551597	LOC551597	cysteine-rich venom protein	PROTEIN_CODING			NC_037640.1	10305789	10419816
551599	LOC551599	ADAM 17-like protease	PROTEIN_CODING	43558	NCBI Ortholog	NC_037641.1	2827402	2831403
551602	LOC551602	ras GTPase-activating protein-binding protein 2	PROTEIN_CODING	47998	NCBI Ortholog	NC_037644.1	8413242	8418408
551603	LOC551603	ras-related protein Rab-11A	PROTEIN_CODING	42501	NCBI Ortholog	NC_037645.1	2233853	2238169
551605	LOC551605	calcium and integrin-binding protein 1	PROTEIN_CODING			NC_037641.1	5584721	5586107
551607	LOC551607	DNA-directed RNA polymerase II subunit RPB11	PROTEIN_CODING	35043	NCBI Ortholog	NC_037640.1	4943427	4944281
551608	LOC551608	serine/threonine-protein kinase pelle	PROTEIN_CODING	43283	NCBI Ortholog	NC_037649.1	7790559	7792655
551613	LOC551613	ATP-dependent RNA helicase SUV3 homolog, mitochondrial	PROTEIN_CODING	40543	NCBI Ortholog	NC_037644.1	774023	777486
551616	LOC551616	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	PROTEIN_CODING	33709	NCBI Ortholog	NC_037640.1	4420428	4423870
551617	LOC551617	uncharacterized LOC551617	PROTEIN_CODING	32154	NCBI Ortholog	NC_037643.1	16687060	16706886
551619	LOC551619	transmembrane protein 8B	PROTEIN_CODING	43028	NCBI Ortholog	NC_037642.1	8503139	8508337
551629	LOC551629	isoleucine--tRNA ligase, cytoplasmic	PROTEIN_CODING	45785	NCBI Ortholog	NC_037641.1	2820754	2826117
551631	LOC551631	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	PROTEIN_CODING			NC_037643.1	14504599	14508301
551633	LOC551633	pleckstrin homology domain-containing family F member 2	PROTEIN_CODING	31105	NCBI Ortholog	NC_037638.1	20640477	20643345
551635	LOC551635	uncharacterized LOC551635	PROTEIN_CODING			NC_037648.1	6620770	6625137
551636	LOC551636	lanC-like protein 2	PROTEIN_CODING	32042	NCBI Ortholog	NC_037638.1	11517291	11520515
551642	LOC551642	GPI mannosyltransferase 4	PROTEIN_CODING	19835548	NCBI Ortholog	NC_037646.1	7901126	7903538
551650	LOC551650	syntenin-1	PROTEIN_CODING			NC_037650.1	2854916	2856855
551651	LOC551651	ferritin subunit	PROTEIN_CODING	46415	NCBI Ortholog	NC_037651.1	5961153	5965014
551654	LOC551654	uncharacterized protein C45G9.7	PROTEIN_CODING	38077	NCBI Ortholog	NC_037640.1	8041945	8042971
551659	LOC551659	serine/threonine-protein kinase STE20	PROTEIN_CODING	41995	NCBI Ortholog	NC_037643.1	14510791	14512648
551660	LOC551660	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	PROTEIN_CODING	31604	NCBI Ortholog	NC_037643.1	17761870	17763035
551663	LOC551663	disintegrin and metalloproteinase domain-containing protein 11	PROTEIN_CODING	32561	NCBI Ortholog	NC_037645.1	8477442	8559807
551665	LOC551665	major facilitator superfamily domain-containing protein 12	PROTEIN_CODING			NC_037638.1	20636229	20638330
551668	LOC551668	regulatory-associated protein of mTOR	PROTEIN_CODING	31543	NCBI Ortholog	NC_037648.1	6625721	6633471
551670	LOC551670	argininosuccinate lyase	PROTEIN_CODING	3771738	NCBI Ortholog	NC_037638.1	11523225	11526267
551671	LOC551671	probable oligoribonuclease	PROTEIN_CODING			NC_037638.1	15198586	15199661
551676	LOC551676	methylmalonic aciduria and homocystinuria type D homolog, mitochondrial	PROTEIN_CODING	31857	NCBI Ortholog	NC_037638.1	14288984	14290951
551677	LOC551677	wee1-like protein kinase	PROTEIN_CODING			NC_037649.1	3859319	3868654
551678	LOC551678	receptor expression-enhancing protein 5	PROTEIN_CODING			NC_037638.1	1051195	1053152
551683	LOC551683	palmitoyltransferase ZDHHC5	PROTEIN_CODING	31887	NCBI Ortholog	NC_037648.1	13505379	13512896
551686	LOC551686	apoptosis inhibitor 5	PROTEIN_CODING	35053	NCBI Ortholog	NC_037653.1	4648229	4651994
551689	LOC551689	nucleolar protein 6	PROTEIN_CODING	41973	NCBI Ortholog	NC_037639.1	13296353	13300446
551692	LOC551692	protein FAM50 homolog	PROTEIN_CODING	43347	NCBI Ortholog	NC_037642.1	8531552	8532956
551696	LOC551696	thioredoxin domain-containing protein 9	PROTEIN_CODING	41305	NCBI Ortholog	NC_037645.1	11698104	11699262
551699	LOC551699	transmembrane protein 145	PROTEIN_CODING	37500	NCBI Ortholog	NC_037638.1	15175051	15178995
551700	LOC551700	tRNA pseudouridine synthase A	PROTEIN_CODING	42440	NCBI Ortholog	NC_037643.1	5366144	5368790
551701	LOC551701	late secretory pathway protein AVL9 homolog	PROTEIN_CODING	32315	NCBI Ortholog	NC_037640.1	13588914	13594031
551704	LOC551704	glutamate receptor ionotropic, delta-2	PROTEIN_CODING			NC_037651.1	4993179	4996264
551709	LOC551709	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	PROTEIN_CODING	32601	NCBI Ortholog	NC_037651.1	5949716	5956746
551714	LOC551714	cGMP-dependent protein kinase, isozyme 1	PROTEIN_CODING			NC_037640.1	6052779	6055795
551715	LOC551715	endonuclease G, mitochondrial	PROTEIN_CODING	36309	NCBI Ortholog	NC_037640.1	13287570	13289115
551721	LOC551721	V-type proton ATPase subunit B	PROTEIN_CODING	41550	NCBI Ortholog	NC_037652.1	3786740	3789477
551723	LOC551723	peptidyl-prolyl cis-trans isomerase-like 3	PROTEIN_CODING	36108	NCBI Ortholog	NC_037640.1	568120	569258
551724	LOC551724	S-adenosylmethionine decarboxylase proenzyme	PROTEIN_CODING	34396	NCBI Ortholog	NC_037647.1	11863163	11875149
551726	LOC551726	inositol-tetrakisphosphate 1-kinase	PROTEIN_CODING			NC_037647.1	5815316	5817849
551727	LOC551727	SUZ domain-containing protein 1	PROTEIN_CODING	261613	NCBI Ortholog	NC_037640.1	13594695	13598571
551728	LOC551728	F-box/LRR-repeat protein 20	PROTEIN_CODING			NC_037638.1	9258867	9262994
551730	LOC551730	tetratricopeptide repeat protein 4	PROTEIN_CODING	35565	NCBI Ortholog	NC_037638.1	12171035	12172877
551734	LOC551734	general transcription and DNA repair factor IIH helicase subunit XPB	PROTEIN_CODING	39202	NCBI Ortholog	NC_037648.1	14502705	14507031
551735	LOC551735	fibrosin-1-like protein	PROTEIN_CODING	32547	NCBI Ortholog	NC_037648.1	13480568	13501316
551736	LOC551736	nephrin	PROTEIN_CODING	44097	NCBI Ortholog	NC_037648.1	9474231	9822128
551738	LOC551738	F-box/LRR-repeat protein 4	PROTEIN_CODING	32378	NCBI Ortholog	NC_037649.1	8694604	8698293
551739	LOC551739	DNA primase large subunit	PROTEIN_CODING			NC_037650.1	4331127	4333706
551742	LOC551742	MICOS complex subunit MIC25	PROTEIN_CODING	43672	NCBI Ortholog	NC_037651.1	1772122	1776863
551743	LOC551743	angiopoietin-1 receptor	PROTEIN_CODING			NC_037639.1	6232869	6235749
551744	LOC551744	phospholipase ABHD3	PROTEIN_CODING	35930	NCBI Ortholog	NC_037640.1	9918351	9923596
551749	LOC551749	LARGE xylosyl- and glucuronyltransferase 1	PROTEIN_CODING			NC_037643.1	10849421	10854954
551753	LOC551753	RNA polymerase II-associated protein 1	PROTEIN_CODING	39413	NCBI Ortholog	NC_037649.1	7805002	7809645
551756	LOC551756	protein crooked neck	PROTEIN_CODING	31208	NCBI Ortholog	NC_037647.1	5811563	5815039
551757	LOC551757	cytochrome b-c1 complex subunit 7	PROTEIN_CODING			NC_037647.1	4834488	4835499
551762	LOC551762	S-adenosylhomocysteine hydrolase-like protein 1	PROTEIN_CODING			NC_037638.1	19313630	19318999
551768	LOC551768	B-cell receptor-associated protein 31	PROTEIN_CODING			NC_037651.1	1776986	1778695
551770	LOC551770	cytosolic purine 5'-nucleotidase	PROTEIN_CODING	32822	NCBI Ortholog	NC_037652.1	3711257	3727862
551771	LOC551771	methionine aminopeptidase 2	PROTEIN_CODING	34294	NCBI Ortholog	NC_037653.1	3169046	3171434
551774	LOC551774	acidic leucine-rich nuclear phosphoprotein 32 family member B	PROTEIN_CODING			NC_037641.1	11106603	11114058
551778	LOC551778	uncharacterized LOC551778	PROTEIN_CODING	39388	NCBI Ortholog	NC_037644.1	10617289	10618450
551779	LOC551779	histone H2A.V	PROTEIN_CODING	43229	NCBI Ortholog	NC_037644.1	8395109	8399497
551781	LOC551781	pre-rRNA-processing protein TSR1 homolog	PROTEIN_CODING	40360	NCBI Ortholog	NC_037645.1	8570857	8574339
551785	LOC551785	6-phosphogluconolactonase	PROTEIN_CODING	32013	NCBI Ortholog	NC_037638.1	11729177	11731007
551790	LOC551790	arf-GAP with dual PH domain-containing protein 1	PROTEIN_CODING			NC_037638.1	10792754	10796244
551793	LOC551793	uncharacterized LOC551793	PROTEIN_CODING	37549	NCBI Ortholog	NC_037647.1	10715114	10728884
551794	LOC551794	transmembrane protein 50A	PROTEIN_CODING	38529	NCBI Ortholog	NC_037647.1	7058899	7060064
551795	LOC551795	xenotropic and polytropic retrovirus receptor 1 homolog	PROTEIN_CODING	32786	NCBI Ortholog	NC_037648.1	866588	870940
551801	LOC551801	host cell factor 1	PROTEIN_CODING	43788	NCBI Ortholog	NC_037639.1	10421057	10428716
551807	LOC551807	neurexin-4	PROTEIN_CODING	39387	NCBI Ortholog	NC_037645.1	1542841	1552320
551811	LOC551811	graves disease carrier protein homolog	PROTEIN_CODING			NC_037643.1	16596301	16599154
551820	LOC551820	meiotic nuclear division protein 1 homolog	PROTEIN_CODING			NC_037647.1	11827892	11830988
551822	LOC551822	ATP-dependent RNA helicase DDX42	PROTEIN_CODING	39218	NCBI Ortholog	NC_037650.1	2895078	2898934
551824	LOC551824	putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1	PROTEIN_CODING	35654	NCBI Ortholog	NC_037652.1	5218204	5225895
551831	LOC551831	histone deacetylase complex subunit SAP30 homolog	PROTEIN_CODING	32664	NCBI Ortholog	NC_037642.1	12046544	12048418
551832	LOC551832	zinc finger matrin-type protein 2	PROTEIN_CODING	38520	NCBI Ortholog	NC_037643.1	9053229	9054941
